"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年11月30日","22,351.06","22,274.97","22,362.20","22,231.96","1.07B","0.40%"
"2018年11月29日","22,262.60","22,360.98","22,437.95","22,241.17","713.88M","0.39%"
"2018年11月28日","22,177.02","22,036.72","22,216.98","22,032.72","799.91M","1.02%"
"2018年11月27日","21,952.40","21,967.98","22,006.83","21,816.05","763.28M","0.64%"
"2018年11月26日","21,812.00","21,647.69","21,838.10","21,622.60","803.88M","0.76%"
"2018年11月22日","21,646.55","21,582.47","21,684.64","21,484.98","678.57M","0.65%"
"2018年11月21日","21,507.54","21,286.81","21,555.61","21,243.38","796.62M","-0.35%"
"2018年11月20日","21,583.12","21,582.69","21,687.12","21,526.95","851.49M","-1.09%"
"2018年11月19日","21,821.16","21,679.03","21,852.92","21,665.29","742.80M","0.65%"
"2018年11月16日","21,680.34","21,804.90","21,873.74","21,663.99","772.03M","-0.57%"
"2018年11月15日","21,803.62","21,670.35","21,818.73","21,613.53","838.96M","-0.20%"
"2018年11月14日","21,846.48","21,851.13","21,990.41","21,764.88","775.39M","0.16%"
"2018年11月13日","21,810.52","21,885.24","21,892.29","21,484.65","883.90M","-2.06%"
"2018年11月12日","22,269.88","22,121.70","22,324.01","22,046.29","610.75M","0.09%"
"2018年11月09日","22,250.25","22,471.31","22,494.58","22,226.01","805.03M","-1.05%"
"2018年11月08日","22,486.92","22,446.01","22,583.43","22,421.00","844.09M","1.82%"
"2018年11月07日","22,085.80","22,189.74","22,444.65","21,996.94","993.18M","-0.28%"
"2018年11月06日","22,147.75","22,018.87","22,160.83","21,994.28","749.27M","1.14%"
"2018年11月05日","21,898.99","22,002.47","22,051.65","21,865.98","810.71M","-1.55%"
"2018年11月02日","22,243.66","21,761.58","22,308.42","21,751.33","1.05B","2.56%"
"2018年11月01日","21,687.65","21,906.41","21,906.41","21,628.45","1.05B","-1.06%"
"2018年10月31日","21,920.46","21,569.56","21,920.46","21,530.39","1.08B","2.16%"
"2018年10月30日","21,457.29","21,049.52","21,568.40","21,035.88","1.21B","1.45%"
"2018年10月29日","21,149.80","21,323.61","21,465.99","21,109.97","730.17M","-0.16%"
"2018年10月26日","21,184.60","21,440.84","21,476.66","20,971.93","958.10M","-0.40%"
"2018年10月25日","21,268.73","21,676.83","21,703.21","21,204.40","965.27M","-3.72%"
"2018年10月24日","22,091.18","22,167.76","22,207.09","21,911.42","864.52M","0.37%"
"2018年10月23日","22,010.78","22,404.14","22,410.15","21,993.07","826.57M","-2.67%"
"2018年10月22日","22,614.82","22,374.21","22,672.25","22,271.59","649.09M","0.37%"
